Year,LocationDesc,Category,Topic,Age_18-24,Age_20-24,Age_25-44,Age_35+,Age_45-64,Age_65+,Age_75+,Gender_Female,Gender_Male,Overall_Overall,Race_Hispanic,Race_Non-Hispanic Asian,Race_Non-Hispanic Black,Race_Non-Hispanic White,Race_Other
2011,Alabama,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),,,1.7,7.1,5.8,13.2,15.0,3.5,6.7,5.0,,,3.9,5.3,
2011,Alabama,Cardiovascular Diseases,Coronary Heart Disease,,,,7.9,7.4,13.5,14.0,4.6,6.5,5.5,,,3.8,6.2,
2011,Alabama,Cardiovascular Diseases,Major Cardiovascular Disease,,,3.8,15.2,13.4,27.0,30.7,9.6,12.5,11.0,,,9.6,11.5,15.8
2011,Alabama,Cardiovascular Diseases,Stroke,,,2.1,6.1,5.3,10.8,13.9,4.4,4.8,4.6,,,4.9,4.4,
2011,Alabama,Risk Factors,Cholesterol Abnormalities,,,59.5,72.95,73.9,79.30000000000001,57.4,69.4,69.35,69.35,40.2,,69.1,69.4,52.9
2011,Alabama,Risk Factors,Diabetes,,,5.0,16.0,16.2,22.9,21.3,12.5,11.0,11.8,,,13.5,11.2,
2011,Alabama,Risk Factors,Hypertension,7.1,,43.85,68.80000000000001,68.4,81.25,81.75,62.85,58.75,60.9,33.95,,64.55,60.25,48.3
2011,Alabama,Risk Factors,Nutrition,90.4,,85.3,88.2,88.4,87.4,88.5,85.8,89.1,87.4,,,86.1,87.8,
2011,Alabama,Risk Factors,Obesity,,33.4,32.7,30.950000000000003,30.95,29.5,29.75,33.2,29.7,31.5,30.85,55.8,33.6,30.9,28.1
2011,Alabama,Risk Factors,Physical Inactivity,77.5,,71.6,64.2,63.4,60.2,55.6,64.8,70.3,67.4,57.6,57.1,65.4,68.6,68.8
2011,Alabama,Risk Factors,Smoking,30.3,,28.2,21.7,26.2,10.2,6.7,21.1,28.1,24.4,27.6,,20.9,25.0,44.0
2011,Alaska,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),,,,4.9,3.2,15.7,21.4,2.7,3.7,3.2,,,,3.4,
2011,Alaska,Cardiovascular Diseases,Coronary Heart Disease,,,,4.0,3.3,11.7,14.0,2.3,2.8,2.6,,,,2.9,3.2
2011,Alaska,Cardiovascular Diseases,Major Cardiovascular Disease,,,1.7,9.0,7.0,24.2,33.5,5.8,6.0,5.9,,,,5.9,8.8
2011,Alaska,Cardiovascular Diseases,Stroke,,,,3.7,3.0,9.5,18.4,2.7,2.2,2.4,,,,1.8,5.9
2011,Alaska,Risk Factors,Cholesterol Abnormalities,,,54.650000000000006,67.55000000000001,69.0,52.4,45.6,62.75,65.05,63.900000000000006,24.7,,51.1,63.5,64.0
2011,Alaska,Risk Factors,Diabetes,,,,10.6,10.5,20.2,23.1,8.2,7.6,7.9,,,,6.9,7.5
2011,Alaska,Risk Factors,Hypertension,8.2,,25.799999999999997,56.1,57.0,75.35,74.9,47.349999999999994,47.4,47.3,18.6,,48.099999999999994,48.55,45.95
2011,Alaska,Risk Factors,Nutrition,87.2,,81.4,79.0,78.7,78.6,73.4,77.9,83.9,80.9,80.8,,,80.5,83.2
2011,Alaska,Risk Factors,Obesity,,33.55,30.049999999999997,29.2,28.85,28.700000000000003,24.650000000000002,33.65,26.6,29.85,29.25,34.5,35.4,30.1,30.2
2011,Alaska,Risk Factors,Physical Inactivity,83.9,,80.4,75.5,74.8,72.6,73.0,75.9,80.0,78.0,75.8,,72.1,80.9,68.8
2011,Alaska,Risk Factors,Smoking,21.8,,26.3,20.8,22.9,12.4,,23.0,22.8,22.9,23.5,,34.7,19.2,38.0
2011,Arizona,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),,,,18.4,14.899999999999999,24.5,25.2,14.15,20.25,17.8,2.5,,,18.5,
2011,Arizona,Cardiovascular Diseases,Coronary Heart Disease,,,,5.7,4.1,12.3,14.2,3.4,4.4,3.9,,,,5.0,
2011,Arizona,Cardiovascular Diseases,Major Cardiovascular Disease,,,2.5,11.7,9.6,23.0,28.5,7.2,9.7,8.5,6.0,,,9.6,8.4
2011,Arizona,Cardiovascular Diseases,Stroke,,,,4.0,3.1,8.0,10.7,2.7,3.4,3.0,,,,3.3,
2011,Arizona,Risk Factors,Cholesterol Abnormalities,,,60.55,70.8,70.6,77.6,52.5,66.55,69.15,67.85,38.8,38.6,34.1,68.7,27.9
2011,Arizona,Risk Factors,Diabetes,,,4.0,13.0,13.4,19.2,16.8,9.0,10.0,9.5,11.3,,14.2,8.1,15.1
2011,Arizona,Risk Factors,Hypertension,9.1,,27.299999999999997,57.8,54.65,74.1,75.85,53.1,46.75,49.8,38.9,,53.55,53.55,52.3
2011,Arizona,Risk Factors,Nutrition,83.9,,74.8,77.9,79.2,81.1,80.8,75.9,81.1,78.5,79.7,,73.8,78.5,72.1
2011,Arizona,Risk Factors,Obesity,,28.8,30.4,29.2,29.1,28.65,30.65,33.6,25.55,29.5,28.55,47.1,26.950000000000003,29.849999999999998,31.5
2011,Arizona,Risk Factors,Physical Inactivity,76.6,,78.5,74.9,73.5,73.8,70.5,75.2,76.4,75.8,72.4,,74.6,77.5,73.1
2011,Arizona,Risk Factors,Smoking,20.4,,22.4,16.6,20.6,8.9,5.6,16.8,21.4,19.1,13.3,,27.1,21.4,24.6
2011,Arkansas,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),,,,9.2,8.0,18.1,19.5,5.1,7.9,6.5,,,5.3,7.1,
2011,Arkansas,Cardiovascular Diseases,Coronary Heart Disease,,,,7.8,6.8,15.5,17.1,5.0,6.4,5.7,,,2.9,6.2,
2011,Arkansas,Cardiovascular Diseases,Major Cardiovascular Disease,,,,15.3,13.1,29.9,33.2,9.7,12.4,11.0,,,8.3,11.6,11.4
2011,Arkansas,Cardiovascular Diseases,Stroke,,,,5.7,5.1,10.0,12.6,4.2,3.9,4.0,,,4.0,4.1,
2011,Arkansas,Risk Factors,Cholesterol Abnormalities,,,55.85,71.4,73.05,77.15,53.5,67.25,69.35,68.2,29.0,,35.8,68.65,36.9
2011,Arkansas,Risk Factors,Diabetes,,,4.8,15.0,15.5,21.2,18.0,10.7,11.7,11.2,,,11.5,11.3,
2011,Arkansas,Risk Factors,Hypertension,,,34.5,65.8,65.75,79.85,79.19999999999999,60.75,55.5,58.2,38.55,,61.4,58.650000000000006,33.2
2011,Arkansas,Risk Factors,Nutrition,88.1,,84.1,86.9,87.8,87.0,87.1,85.5,87.4,86.4,77.7,,83.2,87.9,
2011,Arkansas,Risk Factors,Obesity,,34.400000000000006,33.45,30.549999999999997,30.799999999999997,29.3,29.45,34.5,28.95,31.75,24.95,,31.55,32.400000000000006,33.05
